conforming_loan_limit,preapproval,loan_term,aus_1,applicant_age,applicant_credit_score_type,combined_loan_to_value_ratio,property_value,income,debt_to_income_ratio,loan_amount,applicant_ethnicity_1,applicant_race_1,applicant_sex,action_taken
1,0,39,0,0,2,98.25,285000.0,74.0,7,285000.0,1,4,0,0
1,0,39,0,0,0,94.0,245000.0,50.0,19,235000.0,1,1,1,0
1,0,39,1,0,0,111.06,135000.0,35.0,4,155000.0,0,4,1,0
1,0,39,0,0,1,111.64,105000.0,31.0,4,115000.0,2,5,0,0
1,0,39,0,0,0,96.5,155000.0,34.0,19,155000.0,0,4,1,0
1,0,39,1,0,1,97.0,165000.0,52.0,12,165000.0,1,4,1,0
1,0,39,1,0,2,73.17,415000.0,41.0,19,305000.0,1,4,0,0
1,0,39,0,0,1,86.55,205000.0,31.0,17,175000.0,1,2,1,0
1,0,39,0,0,2,95.0,245000.0,27.0,19,235000.0,1,4,0,0
1,0,39,0,0,2,80.0,335000.0,50.0,14,265000.0,1,4,1,0
1,0,39,0,0,1,107.22,135000.0,53.0,17,145000.0,1,4,0,0
1,0,39,0,0,0,96.5,195000.0,29.0,19,185000.0,1,2,0,0
1,0,39,1,0,2,85.0,195000.0,63.0,8,155000.0,1,2,1,0
1,0,39,1,0,2,80.0,245000.0,27.0,19,195000.0,1,4,0,0
1,0,39,0,0,0,99.56,225000.0,42.0,12,225000.0,2,5,0,0
1,0,39,1,0,0,95.0,405000.0,135.0,1,365000.0,1,4,0,0
1,0,39,0,0,2,95.0,205000.0,33.0,19,195000.0,0,4,0,0
1,0,39,0,0,2,96.5,275000.0,40.0,17,265000.0,0,4,0,0
1,0,39,0,0,0,96.5,165000.0,38.0,17,155000.0,1,2,0,0
1,0,39,0,0,2,104.82,295000.0,80.0,4,305000.0,0,4,0,0
1,0,39,0,0,0,96.5,325000.0,62.0,19,295000.0,2,5,1,0
1,0,39,1,0,1,95.0,315000.0,68.0,17,295000.0,1,2,1,0
1,0,39,0,0,0,88.24,85000.0,0.0,18,65000.0,1,2,0,0
1,0,39,3,0,6,101.01,255000.0,35.0,19,255000.0,1,5,0,0
1,0,39,0,0,1,75.0,445000.0,54.0,19,325000.0,1,2,0,0
1,0,39,0,0,2,101.48,255000.0,53.0,17,265000.0,1,4,0,0
1,0,39,0,0,2,98.56,405000.0,82.0,16,395000.0,0,4,0,0
1,0,39,0,0,0,97.0,165000.0,23.0,19,165000.0,1,4,0,0
1,0,39,1,0,1,95.55,145000.0,60.0,9,145000.0,1,5,0,0
1,0,39,0,0,0,78.18,275000.0,38.0,17,215000.0,1,1,0,0
1,0,39,5,0,0,101.01,165000.0,50.0,2,165000.0,1,2,0,0
1,0,39,0,0,0,100.0,435000.0,110.0,17,435000.0,2,5,0,0
1,0,39,0,0,0,65.6,255000.0,26.0,14,165000.0,1,4,0,0
1,0,39,0,0,0,75.0,185000.0,213.0,17,135000.0,1,2,0,0
1,0,39,0,0,0,94.19,295000.0,60.0,17,285000.0,2,5,0,0
1,0,39,0,0,1,108.34,105000.0,33.0,5,115000.0,1,2,0,0
1,0,39,0,0,0,96.5,295000.0,49.0,17,285000.0,2,5,0,0
1,0,39,0,0,0,69.9,415000.0,50.0,19,285000.0,1,4,0,0
1,0,39,1,0,0,79.8,405000.0,62.0,17,325000.0,1,1,0,0
1,0,39,0,0,6,100.0,145000.0,45.0,11,145000.0,2,5,0,0
1,0,39,0,0,1,96.5,245000.0,25.0,19,245000.0,1,2,0,0
1,0,39,0,0,0,90.0,75000.0,30.0,13,65000.0,0,4,1,0
1,0,39,0,0,2,102.5,195000.0,68.0,17,205000.0,0,4,1,0
1,0,39,0,0,0,96.5,155000.0,0.0,18,145000.0,1,4,0,0
1,0,14,0,0,0,80.0,395000.0,66.0,17,315000.0,1,1,0,0
1,0,39,0,0,2,96.5,145000.0,38.0,19,145000.0,1,4,1,0
1,0,39,3,0,6,101.01,195000.0,45.0,12,195000.0,0,5,0,0
1,0,39,0,0,0,96.5,165000.0,88.0,2,165000.0,1,4,0,0
1,0,39,0,0,0,95.0,315000.0,194.0,19,295000.0,1,4,1,0
1,0,39,1,0,2,97.0,265000.0,90.0,1,265000.0,2,5,0,0
1,0,39,0,0,2,95.0,285000.0,0.0,18,275000.0,0,4,0,0
1,0,39,1,0,0,95.0,1855000.0,74.0,17,175000.0,1,4,0,0
1,0,39,0,0,1,96.5,175000.0,31.0,17,165000.0,0,4,0,0
1,0,39,0,0,6,89.58,245000.0,67.0,3,215000.0,0,4,0,0
1,0,39,1,0,0,120.0,75000.0,27.0,9,85000.0,1,2,0,0
1,0,39,0,0,0,100.0,235000.0,84.0,14,235000.0,1,2,0,0
